Climate Emergency Declaration (CED) data sheet,,,,<-Click link in Cell A1 to view as full-screen directly in Google Drive,,,,,,,,,,,,,,,,,,,
Number of CED places:,,2366,,Total population:,"1,065,477,438",<-includes EU declaration | global % ->,,13.44%,,,,,,,,,,,,,,,
Nations with at least one CED place:,,40,,Total population:,"852,146,370",<-excluding EU declaration,,10.65%,,,,,,,,,,,,,,,
Number of national CEDs:,,18 (& EU),,Total population:,"377,163,097",<-excluding national and EU declarations,,4.71%,,,,,,,,,,,,,,,
Number of subnational state/region CEDs:,,41,,,,,,,,,,,,,,,,,,,,,
"To ask for additions or corrections to this data sheet, email info@cedamia.org",,,,,(See note re targets on the Notes tab),,,,,,,,,,,,,,,,,,
Jurisdictions (by country),,Region,Population,Date,Carbon neutral / net zero target dates,,Declaration type,Minutes / motion text,Media article,CE Action Plan,Council news,Agenda item,Council majority / strongest group,Council composition,C40,ICLEI,Covenant of Mayors,Under2,Carbon Neutral Cities Alliance,Climate Alliance,Cities Power Partnership,Race to Zero,Fossil Fuel Non-proliferation Treaty
Rivalta di Torino Council,,Piedmont,"19,422",30 Sep 2019,,,Climatica e Ambientale,https://www.cedamia.org/wp-content/uploads/2019/12/Rivalta-di-Torino-TO.pdf,,,,,,,,,,,,,,,
Rocca Priora Town Council,,Lazio,"11,955",5 Sep 2019,,,emergenza climatica,https://www.cedamia.org/wp-content/uploads/2019/10/Rocca-Priora-RM.pdf,,,,,,,,,Yes,,,,,,
Rome City Council (Assemblea Capitolina),,Lazio,"2,844,395",26 Sep 2019,,2040,Climatica e Ambientale,https://www.cedamia.org/wp-content/uploads/2019/09/Rome-DEC-ROMA.pdf,https://www.facebook.com/FridaysItalia/photos/a.396163751182851/512518206214071/?type=3&theater,,,,,,Yes,Yes,Yes,,,Yes,,Yes,
Rovigo Town Council,,Veneto,"52,170",30 Sep 2019,,,Climatica e Ambientale,https://www.cedamia.org/wp-content/uploads/2019/10/Rovigo-RO.pdf,,,,,,,,,Yes,,,,,,
San Donato Milanese City Council,,Lombardy,"32,517",12 Feb 2020,,,Climatica e Ambientale,https://www.comune.sandonatomilanese.mi.it/wp-content/uploads/2020/02/n.17-ODG-Dichiarazione-di-emergenza-climatica.pdf,,,https://www.comune.sandonatomilanese.mi.it/wp-content/uploads/2020/02/n.17-ODG-Dichiarazione-di-emergenza-climatica.pdf,,,,,,Yes,,,,,,
Sant'Ambrogio di Torino Council,,Piedmont,"4,843",21 Oct 2019,,,emergenza climatica,https://www.cedamia.org/wp-content/uploads/2019/12/S-Ambrogio-di-Torino-TO.pdf,,,,,,,,,,,,,,,
Sant'Antonino di Susa Municipal Council,,Piedmont,"4,391",25 Sep 2019,,,Climatica e Ambientale,https://drive.google.com/drive/folders/1NnjpqX6wDirnPaFqR11OLCtl7JuSB96m,,,,,,,,,Yes,,,,,,
Santo Stefano Quisquina Town Council,,Sicily,"4,614",27 Sep 2019,,,Climatica e Ambientale,https://www.cedamia.org/wp-content/uploads/2019/10/Santo-Stefano-Quisquina-AG.pdf,,,,,,,,,Yes,,,,,,
Sarego Municipal Council,,Veneto,"6,794",27 Nov 2019,,40% by 2030,Climatica e Ambientale,https://drive.google.com/drive/folders/1NnjpqX6wDirnPaFqR11OLCtl7JuSB96m,,,,,,,,,Yes,,,,,,
Savona Council,,Liguria,"61,345",27 Jun 2019,,,emergenza climatica,https://www.cedamia.org/wp-content/uploads/2019/07/Savona-Mozione_prot._n._42488_del_19_giugno_2019_PD_Emergenza_climatica_e_ambientale.pdf,https://www.ivg.it/2019/06/savona-in-consiglio-comunale-la-mozione-sullemergenza-climatica-sostenuta-dal-pd/,,,,,,,,Yes,,,,,,
Soliera City Council,,Emilia-Romagna,"15,473",23 Jul 2019,,,Climatica e Ambientale,https://albopretorio.terredargine.it/AlboPretorioWeb/allega/Soliera/deliconssoliera/2019/08/50_102247193.pdf,,,,https://www.cedamia.org/wp-content/uploads/2019/09/Soliera-Mozione-FFF.docx,,,,,Yes,,,,,,
Sovicille Municipal Council,,Tuscany,"9,925",27 Sep 2019,,,Climatica e Ambientale,https://www.cedamia.org/wp-content/uploads/2019/09/Sovicille-SI.pdf,,,,,,,,,Yes,,,,,,
Spinea Town Council ,,Veneto,"27,041",27 Sep 2019,,,Climatica e Ambientale,https://www.cedamia.org/wp-content/uploads/2019/10/Spinea-VE.pdf,,,,,,,,,Yes,,,,,,
Syracuse City Council,,Sicily,"121,605",14 Jun 2019,,,emergenza climatica,https://www.cedamia.org/wp-content/uploads/2019/06/Syracuse.pdf,https://www.lasicilia.it/news/lo-dico/253665/emergenza-climatica-siracusa-aderisce-alla-dichiarazione-di-milano.html,,,,,,,,,,,,,,
Tito Municipal Council,,Potenza,"7,197",25 Jan 2024,,,emergenza climatica,,,,https://comune.tito.pz.it/consiglio-comunale-25-gennaio-2024-i-provvedimenti-approvati/,,,,,,Yes,,,,,,
Tolmezzo Town Council,,Friuli-Venezia Giulia,"10,541",25 Sep 2019,,,Climatica e Ambientale,https://www.cedamia.org/wp-content/uploads/2019/10/Tolmezzo-UD.pdf,https://messaggeroveneto.gelocal.it/udine/cronaca/2019/09/29/news/scuole-e-uffici-comunali-verdi-ma-anche-i-vigili-in-bicicletta-1.37571533?refresh_ce,,,,,,,,Yes,,,,,,
Torchiarolo City Council,,Puglia,"5,419",30 May 2019,,,emergenza climatica,https://www.cedamia.org/wp-content/uploads/2019/06/Torchiarolo-delibera_consiglio_n_11.pdf,,,,,,,,,Yes,,,,,,
Travedona Monate Municipal Council,,Lombardy,"3,336",22 May 2020,,,emergenza climatica,http://reteperilclimadelverbano.it/doc/dichiarazione-di-emergenza-climatica/,https://www.varesenews.it/2020/11/anche-luino-pronta-dichiarare-lemergenza-climatica/1278600/,,,,,,,,,,,,,,
Trecastelli Municipal Council,,Marche,"7,570",31 Jul 2019,,,climatica ed ecologica,https://www.comune.trecastelli.an.it/c042050/zf/index.php/atti-amministrativi/delibere/dettaglio/atto/GTVRBNEq1VT0-H/provvedimenti/1,,,,,,,,,,,,,,,
Turin City Council,,Piedmont,"875,698",1 Jul 2019,,2050,Climatica e Ambientale,http://www.comune.torino.it/consiglio/documenti1/atti/testi/2019_02040.pdf?fbclid=IwAR0OALkvUdSXlh-kDgoGNqFfvLaAVjcbgkjUabhLWAehAayHERSloEcmERI,,,,,,,,,,,,,,,
Tuscany Region,,Tuscany,"3,742,437",4 Jun 2019,,,emergenza climatica,https://www.cedamia.org/wp-content/uploads/2019/06/Tuscany-Mozione-clima-Reg-Toscana.pdf,,,,,,,,,,,,,,,
Valsamoggia Council,,Emilia-Romagna,"30,886",19 Sep 2019,,,Climatica e Ambientale,https://www.cedamia.org/wp-content/uploads/2019/09/Valsamoggia-BO.pdf,,,,,,,,,,,,,,,
Varese City Council,,Lombardy,"80,588",15 Jul 2019,,,Climatica e Ambientale,https://www.cedamia.org/wp-content/uploads/2019/08/Varese.pdf,,,,,,,,,,,,,,,
Vasto City Council,,Abruzzo,"41,409",11 Feb 2020,,,Climatica e Ambientale,https://www.vasto.gov.it/index.php/2-non-categorizzato/718-il-10-e-l-11-febbraio-il-consiglio-comunale,,,,,,,,,Yes,,,,,,
Verbania City Council,,Piedmont,"30,827",28 Nov 2019,,,Climatica e Ambientale,https://www.cedamia.org/wp-content/uploads/2020/05/Verbania-VB.pdf,,,,,,,,,,,,,,,
Viareggio Municipal Council,,Tuscany,"62,169",9 Dec 2019,,,Climatica e Ambientale,https://drive.google.com/drive/folders/1NnjpqX6wDirnPaFqR11OLCtl7JuSB96m,,,,,,,,,,,,,,,
Vicchio Town Council,,Tuscany,"8,105",31 Jul 2019,,,Climatica e Ambientale,https://www.cedamia.org/wp-content/uploads/2019/09/Vicchio-FI.pdf,,,,,,,,,,,,,,,
Vinovo Municipal Council,,Piedmont,"14,628",22 Jul 2019,,2030,Climatica e Ambientale,https://www.cedamia.org/wp-content/uploads/2019/08/Vinovo-TO.pdf,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,No. of CEDs,,% of population:,,,,,,,,,,,,,,,,,,,
Italy totals:,,114,"60,317,116",100.00%,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Japan,,136,<-CED total for Japan,,,2050 - set Oct 2020,,,,,,,,,,,,,,,,,
Agematsu Town (上松町),,Nagano,"4,079",26 Feb 2021,,,気候⾮常事態宣⾔,https://www.cedamia.org/wp-content/uploads/2021/03/Kiso-regional-union-joint-CED.pdf,,,,,,,,,,,,,,,
Akashi City (明石市),,Hyōgo,"294,312",23 Mar 2020,,,気候⾮常事態宣⾔,https://www.city.akashi.lg.jp/kankyou/kankyou_soumu_ka/documents/hijyoujitaisenngenn.pdf,,,https://www.city.akashi.lg.jp/kankyou/kankyou_soumu_ka/kikouhenndou.html,,,,,,,,,,,Yes,
Akishima City (昭島市),,Tokyo,"113,542",1 May 2022,,2050,気候⾮常事態宣⾔,https://www.city.akishima.lg.jp/s068/020/010/010/180/20220126091805.html,,,,,,,,,,,,,,,
Akkeshi Town (厚岸町),,Hokkaido,"9,063",8 Mar 2021,,,気候⾮常事態宣⾔,https://www.akkeshi-town.jp/file/contents/2513/26824/akkesityoukikouhijoujitaisenngenn.pdf,,,https://www.akkeshi-town.jp/chogikai/ketsugi/2513/,,,,,,,,,,,,
Amagasaki City (尼崎市),,Hyōgo,"450,765",5 Jun 2021,,2050,気候非常事態行動宣言,https://www.city.amagasaki.hyogo.jp/_res/projects/default_project/_page_/001/024/854/sengenbun.pdf,,,,,,,,,,,,,,,
Aoki Village (青木村),,Nagano,"4,080",1 Jan 2021,,,気候⾮常事態宣⾔,http://www.vill.aoki.nagano.jp/asset/00032/gyousei/soumuka/data/r030101kikohijojitaisengen.pdf,,,http://www.vill.aoki.nagano.jp/topic?id=8#583,,,,,,,,,,,,
Aso City (阿蘇市),,Kumamoto,"27,039",31 Mar 2021,,,気候⾮常事態宣⾔,https://www.city.kumamoto.jp/common/UploadFileDsp.aspx?c_id=5&id=25096&sub_id=11&flid=245569,,,,,,,,,,,,,,Yes,
Beppu City (別府市),,Oita,"122,138",25 Jan 2022,,2050,気候⾮常事態宣⾔,https://www.city.beppu.oita.jp/seikatu/kankyou_gomi/ondanka_eco/kikou.html,,,,,,,,,,,,,,,
Chigasaki City (茅ヶ崎市),,Kanagawa,"242,237",1 Apr 2021,,2050,気候⾮常事態宣⾔,https://www.city.chigasaki.kanagawa.jp/kankyo/1042834.html,,,,,,,,,,,,,,,
Chikuma City (千曲市),,Nagano,"59,381",25 Feb 2020,,,気候⾮常事態宣⾔,https://www.city.chikuma.lg.jp/docs/2020020500029/files/sengen.pdf,,,https://www.city.chikuma.lg.jp/docs/2020020500029/,,,,,,,,,,,,
China-cho (知名町),,Kagoshima,"5,694",29 Sep 2020,,2050,気候⾮常事態宣⾔,https://www.cedamia.org/wp-content/uploads/2020/09/China-Town-20_0929-768x1024.jpg,,,,,,,,,,,,,,,
Chiyoda City (千代田区),,Tokyo,"58,406",25 Jun 2020,,2050,気候⾮常事態宣⾔,https://www.cedamia.org/wp-content/uploads/2020/06/Chiyoda20200625.jpg,,,,,,,,,,,,,,,
Dazaifu City (太宰府市),,Fukuoka,"72,231",25 Jun 2021,,2050,気候⾮常事態宣⾔,http://www.city.dazaifu.lg.jp/admin/important/19208.html,,,,,,,,,,,,,,,
Fujisawa City (藤沢市),,Kanagawa,"436,744",15 Feb 2021,,2050,気候⾮常事態宣⾔,https://www.city.fujisawa.kanagawa.jp/kankyou-s/press/documents/fujisawa_climate_emergency_declaration.pdf,,,https://www.city.fujisawa.kanagawa.jp/kankyou-s/press/climate_emergency_declaration.html,,,,,,,,,,,,
Gojo City (五條市),,Nara,"33,283",25 Mar 2021,,,気候⾮常事態宣⾔,https://www.city.gojo.lg.jp/shisei_soshiki/seisaku_keikaku/kikohijojitai/10585.html,,,,,,,,,,,,,,,
Goto City (五島市),,Nagasaki,"37,775",23 Dec 2021,,2050,気候⾮常事態宣⾔,https://www.city.goto.nagasaki.jp/s001/20211228151533.html,,,,,,,,,Yes,,,,,,
Gyokuto Town (玉東町),,Kumamoto,"5,363",31 Mar 2021,,,気候⾮常事態宣⾔,https://www.city.kumamoto.jp/common/UploadFileDsp.aspx?c_id=5&id=25096&sub_id=11&flid=245569,,,,,,,,,,,,,,Yes,
Hakuba Village Council (白馬村),,Nagano,"9,007",4 Dec 2019,,,気候⾮常事態宣⾔,https://www.vill.hakuba.lg.jp/material/files/group/2/hakuba_climate_emergency_declaration.pdf,,,,,,,,,,,,,,Yes,
Hanyu City (羽生市),,Saitama,"54,304",22 Apr 2022,,2050,気候⾮常事態宣⾔,https://www.city.hanyu.lg.jp/docs/2022041400029/,,,,,,,,,,,,,,,
Hashimoto City (橋本市),,Wakayama,"59,872",10 Mar 2022,,,気候⾮常事態宣⾔,http://www.city.hashimoto.lg.jp/guide/suidokankyobu/seikatsukankyo/risaikuru_ondanka/12661.html,,,,,,,,,,,,,,,
Hayama Town (葉山町),,Kanagawa,"31,546",18 Mar 2021,,,気候⾮常事態宣⾔,https://www.town.hayama.lg.jp/material/files/group/11/hayamacdepdf.pdf,,,https://www.town.hayama.lg.jp/kurashi/sumai/4/4/11963.html,,,,,,,,,,,,
Higashi-Matsushima City (東松島市),,Miyagi,"39,236",16 Jan 2020,,,気候⾮常事態宣⾔,https://www.cedamia.org/wp-content/uploads/2020/03/Tohoku-SDGs-Future-Cities-Summit.pdf,,,https://www.city.rikuzentakata.iwate.jp/shisei/kakuka-oshirase/seisaku-suisin/sdgs-miraitosi/touhoku-sdgs/touhoku-sdgs.html,,,,,,,,,,,,
Higashiyamato City (東大和市),,Tokyo,"85,229",16 Dec 2020,,2050,気候⾮常事態宣⾔,"https://www.city.higashiyamato.lg.jp/index.cfm/36,2020,c,html/2020/20201221-090321.pdf",,,,,,,,,,,,,,,
Hino City (日野市),,Tokyo,"187,048",6 Nov 2022,,2050,気候⾮常事態宣⾔,https://www.city.hino.lg.jp/kurashi/kankyo/mamoru/1022441.html,,,,,,,,,,,,,,,
Hiroshima City (広島市),,Hiroshima,"1,192,547",14 Jul 2022,,2050,気候⾮常事態宣⾔,https://www.city.hiroshima.lg.jp/site/hijojitai/,,,,,,,,yes,yes,,,,,,
Hokkaido Prefecture (北海道),,Hokkaido,"5,281,297",24 Mar 2021,,2050,気候⾮常事態宣⾔,http://www.gikai.pref.hokkaido.lg.jp/_/gian/ketugi3-1-1.pdf,,,http://www.gikai.pref.hokkaido.lg.jp/gian/ketsugian/ketsugian.htm,,,,,,,,,,,Yes,
Hokuei Town Council (北栄町),,Tottori,"14,718",20 Dec 2019,,2050,気候⾮常事態宣⾔,http://www.e-hokuei.net/item/10262.htm#ContentPane,,,,,,,,,,,,,,Yes,
Iide Town (飯豊町),,Yamagata,"6,970",16 Jan 2020,,,気候⾮常事態宣⾔,https://www.cedamia.org/wp-content/uploads/2020/03/Tohoku-SDGs-Future-Cities-Summit.pdf,,,https://www.city.rikuzentakata.iwate.jp/shisei/kakuka-oshirase/seisaku-suisin/sdgs-miraitosi/touhoku-sdgs/touhoku-sdgs.html,,,,,,,,,,,,
Ikeda Town (池田町),,Nagano,"9,793",28 Feb 2020,,2050,気候⾮常事態宣⾔,http://ikedamachi.net/cmsfiles/contents/0000001/1844/kikouijoujitaisengen.pdf,,,http://ikedamachi.net/0000001844.html,,,,,,,,,,,Yes,
Iki City Council (壱岐市),,Nagasaki,"28,008",25 Sep 2019,,2050,気候⾮常事態宣⾔,https://www.cedamia.org/ced-regions-in-japan/,,,,,,,,,,,,,,,
Iwate Prefecture (岩手県),,Iwate,"1,209,457",17 Feb 2021,,2050,気候⾮常事態宣⾔,https://www.pref.iwate.jp/_res/projects/default_project/_page_/001/037/519/sengen-t.pdf,https://mainichi.jp/english/articles/20210222/p2a/00m/0sc/019000c,,https://www.pref.iwate.jp/kurashikankyou/kankyou/seisaku/1037519.html,,,,,,,,,,,Yes,
Izumiotsu City (泉大津市),,Osaka,"75,398",5 Jun 2020,,2050,気候⾮常事態宣⾔,https://www.city.izumiotsu.lg.jp/ikkrwebBrowse/material/files/group/56/senng.pdf,,,,,,,,,,,,,,,
Izumisano City (泉佐野市),,Osaka,"99,161",16 Sep 2021,,2050,気候⾮常事態宣⾔,https://www.city.izumisano.lg.jp/kakuka/seikatsu/kankyo/menu/kougai_04/8075.html,,,,,,,,,,,,,,,
Izunokuni City (伊豆の国市),,Shizuoka,"46,212",18 Mar 2021,,2050,気候⾮常事態宣⾔,https://www.city.izunokuni.shizuoka.jp/kankyou/ondanboushiplan/documents/sengensyo.pdf,,,https://www.city.izunokuni.shizuoka.jp/kankyou/ondanboushiplan/kikouhijoujitai.html,,,,,,,,,,,,
Japan National Parliament,,,"125,960,000",20 Nov 2020,,2050,気候⾮常事態宣⾔,https://www.cedamia.org/wp-content/uploads/2020/11/Diet-declaration.pdf,https://econews.com.au/65842/japan-mps-declare-climate-emergency-as-government-sets-zero-emissions-goal/,,,,,,,,,,,,,,
Kakogawa City (加古川市),,Hyōgo,"266,433",22 Jun 2021,,,気候⾮常事態宣⾔,https://www.city.kakogawa.lg.jp/kurashi/kankyo_eisei/kekaku_torikumi/31807.html,,,,,,,,,,,,,,,
Kamakura City Council (鎌倉市),,Kanagawa,"174,314",4 Oct 2019,,2050,気候⾮常事態宣⾔,https://www.city.kamakura.kanagawa.jp/gikai/documents/gikaigian0905.pdf,,,,,,,,,,,,,,Yes,
Kameyama City (亀山市),,Mie,"49,563",10 Jul 2023,,2050,気候⾮常事態宣⾔,https://www.city.kameyama.mie.jp/docs/2023071100149/file_contents/sengen.pdf,,,https://www.city.kameyama.mie.jp/docs/2023071100149/,,,,,,,,,,,,
Kanancho Town (河南町),,Osaka,"16,027",10 Mar 2020,,,気候⾮常事態宣⾔,https://www.cedamia.org/wp-content/uploads/2020/03/Kanan-cho-ketsugi.pdf,,,,,,,,,,,,,,,
Kanagawa Prefecture (神奈川県),,Kanagawa,"9,058,094",7 Feb 2020,,2050,気候⾮常事態宣⾔,https://www.pref.kanagawa.jp/docs/bs5/sdgs/documents/kanagawaweatherdecralation_1.pdf,,,https://www.pref.kanagawa.jp/docs/bs5/sdgs/documents/declaration.pdf,,,,,,,,,,,Yes,
Kanuma City (鹿沼市),,Tochigi,"94,591",1 Apr 2021,,2050,気候⾮常事態宣⾔,https://www.city.kanuma.tochigi.jp/0099/info-0000006933-0.html,,,,,,,,,,,,,,,
Karuizawa Town (軽井沢町),,Nagano,"20,323",30 Mar 2022,,2050,気候⾮常事態宣⾔,http://www.areasaku.or.jp/gyosei/01kouiki/news/kikou/sengen.pdf,,,,,,,,,,,,,,Yes,
Kashima Town (嘉島町),,Kumamoto,"9,119",31 Mar 2021,,,気候⾮常事態宣⾔,https://www.city.kumamoto.jp/common/UploadFileDsp.aspx?c_id=5&id=25096&sub_id=11&flid=245569,,,,,,,,,,,,,,Yes,
Katano City (交野市),,Osaka,"77,401",31 Mar 2022,,2050,気候⾮常事態宣⾔,https://www.city.katano.osaka.jp/docs/2022031700047/,,,,,,,,,,,,,,,
Kawachinagano City (河内長野市),,Osaka,"101,719",26 Mar 2020,,,気候⾮常事態宣⾔,https://www.city.kawachinagano.lg.jp/site/gikai/38673.html,,,,,,,,,,,,,,,
Kawakami Village (川上村),,Nagano,"4,009",30 Mar 2022,,2050,気候⾮常事態宣⾔,http://www.areasaku.or.jp/gyosei/01kouiki/news/kikou/sengen.pdf,,,,,,,,,,,,,,,
Kijimadaira Village (木島平村),,Nagano,"4,256",15 Mar 2021,,2050,気候⾮常事態宣⾔,http://www.vill.kijimadaira.lg.jp/articles/2021032600028/file_contents/sengen.pdf,,,http://www.vill.kijimadaira.lg.jp/articles/2021032600028/,,,,,,,,,,,,
Kikuchi City (菊池市),,Kumamoto,"49,455",31 Mar 2021,,,気候⾮常事態宣⾔,https://www.city.kumamoto.jp/common/UploadFileDsp.aspx?c_id=5&id=25096&sub_id=11&flid=245569,,,,,,,,,,,,,,Yes,
Kikuyo Town (菊陽町),,Kumamoto,"41,411",31 Mar 2021,,,気候⾮常事態宣⾔,https://www.city.kumamoto.jp/common/UploadFileDsp.aspx?c_id=5&id=25096&sub_id=11&flid=245569,,,,,,,,,,,,,,Yes,
Kiso Town (木曽町),,Nagano,"11,045",11 Dec 2020,,,気候⾮常事態宣⾔,https://www.town-kiso.com/files/file/box/f0/f0550bb440125184a0c71300197df83cd63070e2.pdf,,,https://www.town-kiso.com/kurashi/kankyo/100360/101379/,,,,,,,,,,,,
Kiso Village (木祖村),,Nagano,"2,877",16 Mar 2020,,,気候⾮常事態宣⾔,http://www.vill.kiso.nagano.jp/data/open/cnt/3/16987/1/kikou_hijou_sengen.pdf,,,,,,,,,,,,,,,
Kitaaiki Village (北相木村),,Nagano,755,30 Mar 2022,,2050,気候⾮常事態宣⾔,http://www.areasaku.or.jp/gyosei/01kouiki/news/kikou/sengen.pdf,,,,,,,,,,,,,,,
Kitakyushu City (北九州市),,Fukuoka,"940,978",31 Mar 2021,,2050,気候⾮常事態宣⾔,https://www.city.kitakyushu.lg.jp/sigikai/g0401125.html,,,,,,,,Yes,Yes,,,,,,
Kizugawa City (木津川市),,Kyoto,"79,171",29 Mar 2022,,2050,気候⾮常事態宣⾔,"https://www.city.kizugawa.lg.jp/index.cfm/6,51568,22,525,html",,,,,,,,,,,,,,,
Koganei City (小金井市),,Tokyo,"127,348",1 Jan 2022,,2050,気候⾮常事態宣⾔,https://www.city.koganei.lg.jp/kurashi/473/chikyuondankataisaku/hijyoujitaisengen.html,,,,,,,,,,,,,,,
Komatsu City (小松市),,Ishikawa,"108,509",24 Sep 2021,,2050,気候⾮常事態宣⾔,https://www.city.komatsu.lg.jp/citycouncil/news/8418.html,,,,,,,,,,,,,,,
Komoro City (小諸市),,Nagano,"42,489",29 Sep 2020,,2050,気候⾮常事態宣⾔,https://www.city.komoro.lg.jp/material/files/group/10/kikouhijoujitaisengen.pdf,,,,,,,,,,,,,,,
Koriyama City (郡山市),,Fukushima,"333,108",16 Jan 2020,,,気候⾮常事態宣⾔,https://www.city.koriyama.lg.jp/kurashi/sdgs/22282.html,,,https://www.city.rikuzentakata.iwate.jp/shisei/kakuka-oshirase/seisaku-suisin/sdgs-miraitosi/touhoku-sdgs/touhoku-sdgs.html,,,,,,,,,,,Yes,
Kosa Town (甲佐町),,Kumamoto,"10,924",31 Mar 2021,,,気候⾮常事態宣⾔,https://www.city.kumamoto.jp/common/UploadFileDsp.aspx?c_id=5&id=25096&sub_id=11&flid=245569,,,,,,,,,,,,,,Yes,
Koshi City (合志市),,Kumamoto,"61,022",31 Mar 2021,,,気候⾮常事態宣⾔,https://www.city.kumamoto.jp/common/UploadFileDsp.aspx?c_id=5&id=25096&sub_id=11&flid=245569,,,,,,,,,,,,,,Yes,
Koumi Town (小海町),,Nagano,"4,676",30 Mar 2022,,2050,気候⾮常事態宣⾔,http://www.areasaku.or.jp/gyosei/01kouiki/news/kikou/sengen.pdf,,,,,,,,,,,,,,,
Kuki City (久喜市),,Saitama,"152,569",30 Jun 2021,,2050,気候⾮常事態宣⾔,http://www.city.kuki.lg.jp/shigikai/gian_kekka/reiwa3nendo/reiwa3nen6gatsuteire/teirei0306.files/03_02ketsugi.pdf,,,,,,,,,,,,,,,
Kumamoto City (熊本市),,Kumamoto,"738,907",31 Mar 2021,,,気候⾮常事態宣⾔,https://www.city.kumamoto.jp/common/UploadFileDsp.aspx?c_id=5&id=25096&sub_id=11&flid=245569,,,,,,,,,,,,,,Yes,
Kumatori Town (熊取町),,Osaka,"43,988",25 May 2020,,2050,気候⾮常事態宣⾔,https://www.town.kumatori.lg.jp/ikkrwebBrowse/material/files/group/10/kumatorikikouhijoujitai.pdf,,,,,,,,,,,,,,,
Kusatsu City (草津市),,Shiga,"137,266",17 Dec 2021,,2050,気候⾮常事態宣⾔,https://www.city.kusatsu.shiga.jp/kurashi/kankyo/ondanka/kikohijojitai.html,,,,,,,,,,,,,,,
Kyoto City (京都市),,Kyoto,"1,468,980",10 Dec 2020,,2050,気候⾮常事態宣⾔,https://www2.city.kyoto.lg.jp/shikai/honkaigi/R02/ikenshoketsugi11.html#shikai11-4,,,,,,,,Yes,Yes,,,,,Yes,
Maibara City (米原市),,Shiga,"36,281",28 Mar 2023,,2050,気候⾮常事態宣⾔,https://www.city.maibara.lg.jp/soshiki/chikishinko/kankyo/ondanka/19287.html,,,,,,,,,,,,,,,
Mashiki Town (益城町),,Kumamoto,"33,001",31 Mar 2021,,,気候⾮常事態宣⾔,https://www.city.kumamoto.jp/common/UploadFileDsp.aspx?c_id=5&id=25096&sub_id=11&flid=245569,,,,,,,,,,,,,,Yes,
Matsumoto City (松本市),,Nagano,"239,466",25 Jun 2020,,80% by 2050,気候⾮常事態宣⾔,http://www.city.matsumoto.nagano.jp/sigikai/nittei/giinteishutu/r2/R2-06gikaian.html,,,,,,,,,Yes,,,,,,
Mifune Town (御船町),,Kumamoto,"16,901",31 Mar 2021,,,気候⾮常事態宣⾔,https://www.city.kumamoto.jp/common/UploadFileDsp.aspx?c_id=5&id=25096&sub_id=11&flid=245569,,,,,,,,,,,,,,Yes,
Minamiaiki Village (南相木村),,Nagano,"1,057",30 Mar 2022,,2050,気候⾮常事態宣⾔,http://www.areasaku.or.jp/gyosei/01kouiki/news/kikou/sengen.pdf,,,,,,,,,,,,,,,
Minamimaki Village (南牧村),,Nagano,"2,924",30 Mar 2022,,2050,気候⾮常事態宣⾔,http://www.areasaku.or.jp/gyosei/01kouiki/news/kikou/sengen.pdf,,,,,,,,,,,,,,,
Minamiminowa Village (南箕輪村),,Nagano,"15,601",5 Jun 2020,,2050,気候⾮常事態宣⾔,https://www.vill.minamiminowa.lg.jp/uploaded/attachment/9886.pdf,,,,,,,,,,,,,,,
Minamiaso Village (南阿蘇村),,Kumamoto,"11,086",31 Mar 2021,,,気候⾮常事態宣⾔,https://www.city.kumamoto.jp/common/UploadFileDsp.aspx?c_id=5&id=25096&sub_id=11&flid=245569,,,,,,,,,,,,,,,
Misato Town (美里町),,Kumamoto,"10,532",31 Mar 2021,,,気候⾮常事態宣⾔,https://www.city.kumamoto.jp/common/UploadFileDsp.aspx?c_id=5&id=25096&sub_id=11&flid=245569,,,,,,,,,,,,,,Yes,
Miyako City (宮古市),,Iwate,"51,321",15 Oct 2020,,2050 (100% RE),気候⾮常事態宣⾔,https://www.city.miyako.iwate.jp/data/open/cnt/3/11216/1/sengen.PDF?20201013175946,,,https://www.city.miyako.iwate.jp/kankyo/kikouhijoujitaisengen.html,,,,,,,,,,,,
Miyazu City (宮津市),,Kyoto,"16,380",20 Oct 2021,,2050,気候⾮常事態宣⾔,https://www.city.miyazu.kyoto.jp/soshiki/5/11553.html,,,,,,,,,,,,,,,
